id,card_text
table:wp_users,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_users ACCESSED_BY_FUNCTIONS:WP_User_Query->query() cache_users() wp_insert_user() ACCESSED_BY_FILES:/var/www/html/wp-includes/class-wp-user-query.php /var/www/html/wp-includes/user.php
table:wp_wc_admin_note_actions,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_wc_admin_note_actions ACCESSED_BY_FUNCTIONS:AutomatticWANDataStore->read_actions() AutomatticWIUDatabaseUtil->dbdelta() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Admin/Notes/DataStore.php /var/www/html/wp-content/plugins/woocommerce/src/Internal/Utilities/DatabaseUtil.php
table:wp_wc_admin_notes,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_wc_admin_notes ACCESSED_BY_FUNCTIONS:AutomatticWANDataStore->read() AutomatticWANDataStore->get_notes() AutomatticWIUDatabaseUtil->dbdelta() AutomatticWANDataStore->get_notes_count() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/includes/class-wc-data-store.php /var/www/html/wp-content/plugins/woocommerce/src/Internal/Utilities/DatabaseUtil.php
table:wp_wc_category_lookup,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_wc_category_lookup ACCESSED_BY_FUNCTIONS:AutomatticWIUDatabaseUtil->dbdelta() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/Utilities/DatabaseUtil.php
table:wp_wc_customer_lookup,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_wc_customer_lookup ACCESSED_BY_FUNCTIONS:AutomatticWIUDatabaseUtil->dbdelta() AutomatticWAARCDataStore::sync_order_customer() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/Utilities/DatabaseUtil.php /var/www/html/wp-content/plugins/woocommerce/src/Internal/Admin/Schedulers/OrdersScheduler.php
table:wp_wc_download_log,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_wc_download_log ACCESSED_BY_FUNCTIONS:AutomatticWIUDatabaseUtil->dbdelta() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/Utilities/DatabaseUtil.php
table:wp_wc_order_addresses,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_wc_order_addresses ACCESSED_BY_FUNCTIONS:AutomatticWIUDatabaseUtil->dbdelta() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/Utilities/DatabaseUtil.php
table:wp_wc_order_coupon_lookup,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_wc_order_coupon_lookup ACCESSED_BY_FUNCTIONS:AutomatticWIUDatabaseUtil->dbdelta() AutomatticWAARCDataStore::sync_order_coupons() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/Utilities/DatabaseUtil.php /var/www/html/wp-content/plugins/woocommerce/src/Internal/Admin/Schedulers/OrdersScheduler.php
table:wp_wc_order_operational_data,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_wc_order_operational_data ACCESSED_BY_FUNCTIONS:AutomatticWIUDatabaseUtil->dbdelta() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/Utilities/DatabaseUtil.php
table:wp_wc_order_product_lookup,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_wc_order_product_lookup ACCESSED_BY_FUNCTIONS:AutomatticWIUDatabaseUtil->dbdelta() AutomatticWAARPDataStore::sync_order_products() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/Utilities/DatabaseUtil.php /var/www/html/wp-content/plugins/woocommerce/src/Internal/Admin/Schedulers/OrdersScheduler.php
table:wp_wc_order_stats,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_wc_order_stats ACCESSED_BY_FUNCTIONS:AutomatticWIUDatabaseUtil->dbdelta() AutomatticWAARCDataStore::get_existing_customer_id_from_order() AutomatticWAAROSDataStore::update() AutomatticWAARCDataStore::get_last_order() AutomatticWAARODataStore::get_all_statuses() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/Utilities/DatabaseUtil.php /var/www/html/wp-content/plugins/woocommerce/src/Admin/API/Reports/Customers/DataStore.php /var/www/html/wp-content/plugins/woocommerce/src/Admin/API/Reports/Orders/Stats/DataStore.php /var/www/html/wp-content/plugins/woocommerce/src/Internal/Admin/Settings.php
table:wp_wc_order_tax_lookup,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_wc_order_tax_lookup ACCESSED_BY_FUNCTIONS:AutomatticWIUDatabaseUtil->dbdelta() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/Utilities/DatabaseUtil.php
table:wp_wc_orders,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_wc_orders ACCESSED_BY_FUNCTIONS:AutomatticWIUDatabaseUtil->dbdelta() AutomatticWIDOOrdersTableDataStore->get_orders_type() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/Utilities/DatabaseUtil.php /var/www/html/wp-content/plugins/woocommerce/includes/class-wc-data-store.php /var/www/html/wp-content/plugins/woocommerce/src/Internal/DataStores/Orders/OrdersTableDataStore.php
table:wp_wc_orders_meta,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_wc_orders_meta ACCESSED_BY_FUNCTIONS:AutomatticWIUDatabaseUtil->dbdelta() AutomatticWIDOOrdersTableDataStore->get_order_data_for_ids() AutomatticWIDCustomMetaDataStore->add_meta() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/Utilities/DatabaseUtil.php /var/www/html/wp-content/plugins/woocommerce/src/Internal/DataStores/Orders/OrdersTableDataStore.php
table:wp_wc_product_attributes_lookup,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_wc_product_attributes_lookup ACCESSED_BY_FUNCTIONS:AutomatticWIUDatabaseUtil->dbdelta() AutomatticWIPLookupDataStore->delete_data_for() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/src/Internal/Utilities/DatabaseUtil.php /var/www/html/wp-content/plugins/woocommerce/src/Internal/ProductAttributesLookup/LookupDataStore.php
